,diseaseId,geneId,geneSymbol
0,C0000737,3440,IFNA2
1,C0000744,4547,MTTP
2,C0000768,156,GRK2
3,C0000768,1295,GRK2
4,C0000768,1317,GRK2
5,C0000768,2138,GRK2
6,C0000768,2332,GRK2
7,C0000768,2348,GRK2
8,C0000768,4851,GRK2
9,C0000768,6299,GRK2
10,C0000768,6495,GRK2
11,C0000768,9314,GRK2
12,C0000768,10683,GRK2
13,C0000771,387,RHOA
14,C0000771,847,RHOA
15,C0000771,2052,RHOA
16,C0000771,7481,RHOA
17,C0000771,51185,RHOA
18,C0000772,406,ARNTL
19,C0000772,1055,ARNTL
20,C0000772,1147,ARNTL
21,C0000772,1499,ARNTL
22,C0000772,2263,ARNTL
23,C0000772,2852,ARNTL
24,C0000772,2932,ARNTL
25,C0000772,5424,ARNTL
26,C0000772,5728,ARNTL
27,C0000772,7044,ARNTL
28,C0000772,8626,ARNTL
29,C0000772,8942,ARNTL
30,C0000772,9378,ARNTL
31,C0000772,23498,ARNTL
32,C0000772,26040,ARNTL
33,C0000772,27125,ARNTL
34,C0000772,55191,ARNTL
35,C0000786,185,AGTR1
36,C0000786,196,AGTR1
37,C0000786,251,AGTR1
38,C0000786,348,AGTR1
39,C0000786,405,AGTR1
40,C0000786,634,AGTR1
41,C0000786,924,AGTR1
42,C0000786,925,AGTR1
43,C0000786,968,AGTR1
44,C0000786,969,AGTR1
45,C0000786,1048,AGTR1
46,C0000786,1277,AGTR1
47,C0000786,1278,AGTR1
48,C0000786,1288,AGTR1
49,C0000786,1289,AGTR1
50,C0000786,1290,AGTR1
51,C0000786,1291,AGTR1
52,C0000786,1293,AGTR1
53,C0000786,1298,AGTR1
54,C0000786,1305,AGTR1
55,C0000786,1440,AGTR1
56,C0000786,1543,AGTR1
57,C0000786,1591,AGTR1
58,C0000786,1719,AGTR1
59,C0000786,1842,AGTR1
60,C0000786,1893,AGTR1
61,C0000786,2012,AGTR1
62,C0000786,2252,AGTR1
63,C0000786,2335,AGTR1
64,C0000786,2537,AGTR1
65,C0000786,2744,AGTR1
66,C0000786,3026,AGTR1
67,C0000786,3292,AGTR1
68,C0000786,3430,AGTR1
69,C0000786,3446,AGTR1
70,C0000786,3479,AGTR1
71,C0000786,3481,AGTR1
72,C0000786,3484,AGTR1
73,C0000786,3486,AGTR1
74,C0000786,3489,AGTR1
75,C0000786,3553,AGTR1
76,C0000786,3568,AGTR1
77,C0000786,3569,AGTR1
78,C0000786,3578,AGTR1
79,C0000786,3589,AGTR1
80,C0000786,3593,AGTR1
81,C0000786,3603,AGTR1
82,C0000786,3623,AGTR1
83,C0000786,3627,AGTR1
84,C0000786,3691,AGTR1
85,C0000786,3694,AGTR1
86,C0000786,3717,AGTR1
87,C0000786,3732,AGTR1
88,C0000786,3910,AGTR1
89,C0000786,3958,AGTR1
90,C0000786,3976,AGTR1
91,C0000786,4133,AGTR1
92,C0000786,4247,AGTR1
93,C0000786,4256,AGTR1
94,C0000786,4316,AGTR1
95,C0000786,4320,AGTR1
96,C0000786,4321,AGTR1
97,C0000786,4324,AGTR1
98,C0000786,4327,AGTR1
99,C0000786,4585,AGTR1
100,C0000786,4680,AGTR1
101,C0000786,4684,AGTR1
102,C0000786,5047,AGTR1
103,C0000786,5228,AGTR1
104,C0000786,5618,AGTR1
105,C0000786,5655,AGTR1
106,C0000786,5740,AGTR1
107,C0000786,5744,AGTR1
108,C0000786,5950,AGTR1
109,C0000786,6317,AGTR1
110,C0000786,6318,AGTR1
111,C0000786,6750,AGTR1
112,C0000786,7037,AGTR1
113,C0000786,7040,AGTR1
114,C0000786,7045,AGTR1
115,C0000786,7046,AGTR1
116,C0000786,7077,AGTR1
117,C0000786,7078,AGTR1
118,C0000786,7143,AGTR1
119,C0000786,7185,AGTR1
120,C0000786,8741,AGTR1
121,C0000786,8743,AGTR1
122,C0000786,8763,AGTR1
123,C0000786,8832,AGTR1
124,C0000786,9332,AGTR1
125,C0000786,10321,AGTR1
126,C0000786,10468,AGTR1
127,C0000786,10561,AGTR1
128,C0000786,10615,AGTR1
129,C0000786,10666,AGTR1
130,C0000786,10824,AGTR1
131,C0000786,11009,AGTR1
132,C0000786,22924,AGTR1
133,C0000786,23753,AGTR1
134,C0000786,23767,AGTR1
135,C0000786,26998,AGTR1
136,C0000786,27159,AGTR1
137,C0000786,51554,AGTR1
138,C0000786,53832,AGTR1
139,C0000786,56145,AGTR1
140,C0000786,56547,AGTR1
141,C0000786,56891,AGTR1
142,C0000786,59272,AGTR1
143,C0000786,80034,AGTR1
144,C0000809,9586,CREB5
145,C0000809,50511,CREB5
146,C0000821,10464,PIBF1
147,C0000832,635,BHMT
148,C0000832,4522,BHMT
149,C0000832,4846,BHMT
150,C0001080,2261,FGFR3
151,C0001122,4780,NFE2L2
152,C0001122,389015,NFE2L2
153,C0001125,4567,TRNL1
154,C0001125,5160,TRNL1
155,C0001125,5327,TRNL1
156,C0001125,10059,TRNL1
157,C0001125,50484,TRNL1
158,C0001125,55210,TRNL1
159,C0001126,2299,FOXI1
160,C0001126,6521,FOXI1
161,C0001126,6559,FOXI1
162,C0001126,8671,FOXI1
163,C0001144,4210,MEFV
164,C0001144,9051,MEFV
165,C0001144,64127,MEFV
166,C0001144,114548,MEFV
167,C0001175,3439,IFNA1
168,C0001175,3458,IFNA1
169,C0001175,3558,IFNA1
170,C0001193,2263,FGFR2
171,C0001193,7291,FGFR2
172,C0001197,3710,ITPR3
173,C0001197,5698,ITPR3
174,C0001197,55630,ITPR3
175,C0001206,2688,GH1
176,C0001206,2778,GH1
177,C0001206,3479,GH1
178,C0001206,9049,GH1
179,C0001206,83550,GH1
180,C0001231,5443,POMC
181,C0001338,3661,IRF3
182,C0001338,7098,IRF3
183,C0001338,7187,IRF3
184,C0001338,81622,IRF3
185,C0001338,148022,IRF3
186,C0001349,283,ANG
187,C0001364,5591,PRKDC
188,C0001364,24145,PRKDC
189,C0001403,326,AIRE
190,C0001403,4261,AIRE
191,C0001403,23274,AIRE
192,C0001418,25,ABL1
193,C0001418,240,ABL1
194,C0001418,242,ABL1
195,C0001418,324,ABL1
196,C0001418,332,ABL1
197,C0001418,335,ABL1
198,C0001418,348,ABL1
199,C0001418,563,ABL1
200,C0001418,595,ABL1
201,C0001418,596,ABL1
202,C0001418,634,ABL1
203,C0001418,759,ABL1
204,C0001418,760,ABL1
205,C0001418,780,ABL1
206,C0001418,841,ABL1
207,C0001418,864,ABL1
208,C0001418,1028,ABL1
209,C0001418,1029,ABL1
210,C0001418,1152,ABL1
211,C0001418,1490,ABL1
212,C0001418,1499,ABL1
213,C0001418,1548,ABL1
214,C0001418,1571,ABL1
215,C0001418,1588,ABL1
216,C0001418,1592,ABL1
217,C0001418,1612,ABL1
218,C0001418,1636,ABL1
219,C0001418,1786,ABL1
220,C0001418,1938,ABL1
221,C0001418,1950,ABL1
222,C0001418,1956,ABL1
223,C0001418,2023,ABL1
224,C0001418,2064,ABL1
225,C0001418,2099,ABL1
226,C0001418,2100,ABL1
227,C0001418,2202,ABL1
228,C0001418,2254,ABL1
229,C0001418,2475,ABL1
230,C0001418,2520,ABL1
231,C0001418,2543,ABL1
232,C0001418,2878,ABL1
233,C0001418,2886,ABL1
234,C0001418,3206,ABL1
235,C0001418,3312,ABL1
236,C0001418,3329,ABL1
237,C0001418,3399,ABL1
238,C0001418,3439,ABL1
239,C0001418,3553,ABL1
240,C0001418,3576,ABL1
241,C0001418,3784,ABL1
242,C0001418,3791,ABL1
243,C0001418,3845,ABL1
244,C0001418,3856,ABL1
245,C0001418,4233,ABL1
246,C0001418,4288,ABL1
247,C0001418,4297,ABL1
248,C0001418,4323,ABL1
249,C0001418,4354,ABL1
250,C0001418,4583,ABL1
251,C0001418,4609,ABL1
252,C0001418,4790,ABL1
253,C0001418,4846,ABL1
254,C0001418,4878,ABL1
255,C0001418,4968,ABL1
256,C0001418,5074,ABL1
257,C0001418,5111,ABL1
258,C0001418,5223,ABL1
259,C0001418,5241,ABL1
260,C0001418,5245,ABL1
261,C0001418,5265,ABL1
262,C0001418,5290,ABL1
263,C0001418,5328,ABL1
264,C0001418,5468,ABL1
265,C0001418,5587,ABL1
266,C0001418,5617,ABL1
267,C0001418,5728,ABL1
268,C0001418,5731,ABL1
269,C0001418,5743,ABL1
270,C0001418,5781,ABL1
271,C0001418,5915,ABL1
272,C0001418,6091,ABL1
273,C0001418,6599,ABL1
274,C0001418,6648,ABL1
275,C0001418,6696,ABL1
276,C0001418,6774,ABL1
277,C0001418,6776,ABL1
278,C0001418,6794,ABL1
279,C0001418,6847,ABL1
280,C0001418,6934,ABL1
281,C0001418,7040,ABL1
282,C0001418,7124,ABL1
283,C0001418,7157,ABL1
284,C0001418,7170,ABL1
285,C0001418,7306,ABL1
286,C0001418,7367,ABL1
287,C0001418,7422,ABL1
288,C0001418,8202,ABL1
289,C0001418,8289,ABL1
290,C0001418,8626,ABL1
291,C0001418,8797,ABL1
292,C0001418,8856,ABL1
293,C0001418,8991,ABL1
294,C0001418,9420,ABL1
295,C0001418,10232,ABL1
296,C0001418,10266,ABL1
297,C0001418,11186,ABL1
298,C0001418,29108,ABL1
299,C0001418,51196,ABL1
300,C0001418,51292,ABL1
301,C0001418,51738,ABL1
302,C0001418,54474,ABL1
303,C0001418,56287,ABL1
304,C0001418,58508,ABL1
305,C0001418,59340,ABL1
306,C0001418,79633,ABL1
307,C0001418,143187,ABL1
308,C0001430,240,ALOX5
309,C0001430,324,ALOX5
310,C0001430,476,ALOX5
311,C0001430,489,ALOX5
312,C0001430,492,ALOX5
313,C0001430,596,ALOX5
314,C0001430,598,ALOX5
315,C0001430,776,ALOX5
316,C0001430,1499,ALOX5
317,C0001430,1545,ALOX5
318,C0001430,2697,ALOX5
319,C0001430,2705,ALOX5
320,C0001430,3479,ALOX5
321,C0001430,3762,ALOX5
322,C0001430,3845,ALOX5
323,C0001430,4552,ALOX5
324,C0001430,4583,ALOX5
325,C0001430,4763,ALOX5
326,C0001430,5617,ALOX5
327,C0001430,5757,ALOX5
328,C0001430,6414,ALOX5
329,C0001430,6573,ALOX5
330,C0001430,6948,ALOX5
331,C0001430,7157,ALOX5
332,C0001430,7253,ALOX5
333,C0001430,7296,ALOX5
334,C0001430,7428,ALOX5
335,C0001430,9049,ALOX5
336,C0001430,9429,ALOX5
337,C0001430,23512,ALOX5
338,C0001430,23600,ALOX5
339,C0001430,54822,ALOX5
340,C0001430,406936,ALOX5
341,C0001430,442910,ALOX5
342,C0001430,494337,ALOX5
343,C0001430,574456,ALOX5
344,C0001546,10014,HDAC5
345,C0001614,5443,POMC
346,C0001618,2771,GNAI2
347,C0001618,5573,GNAI2
348,C0001618,7157,GNAI2
349,C0001621,1081,CGA
350,C0001623,215,ABCD1
351,C0001623,1583,ABCD1
352,C0001623,2516,ABCD1
353,C0001623,8879,ABCD1
354,C0001624,998,CDC42
355,C0001624,1029,CDC42
356,C0001624,1499,CDC42
357,C0001624,2778,CDC42
358,C0001624,2796,CDC42
359,C0001624,2798,CDC42
360,C0001624,5566,CDC42
361,C0001624,5743,CDC42
362,C0001624,5925,CDC42
363,C0001624,7157,CDC42
364,C0001624,7253,CDC42
365,C0001627,552,AVPR1A
366,C0001627,554,AVPR1A
367,C0001627,1586,AVPR1A
368,C0001627,1589,AVPR1A
369,C0001627,3284,AVPR1A
370,C0001627,3360,AVPR1A
371,C0001627,5447,AVPR1A
372,C0001627,5573,AVPR1A
373,C0001627,8622,AVPR1A
374,C0001723,1312,COMT
375,C0001723,3240,COMT
376,C0001723,4524,COMT
377,C0001723,6532,COMT
378,C0001723,267012,COMT
379,C0001733,2243,FGA
380,C0001733,2244,FGA
381,C0001733,2266,FGA
382,C0001733,8647,FGA
383,C0001768,695,BTK
384,C0001768,930,BTK
385,C0001768,973,BTK
386,C0001768,974,BTK
387,C0001768,3507,BTK
388,C0001768,3543,BTK
389,C0001768,5295,BTK
390,C0001768,6929,BTK
391,C0001768,6948,BTK
392,C0001768,7922,BTK
393,C0001768,29760,BTK
394,C0001768,56262,BTK
395,C0001787,71,ACTG1
396,C0001787,111,ACTG1
397,C0001787,302,ACTG1
